Data;INPC - saúde e cuidados pessoais - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_INPCSC12;
1980-10;7,62;
1980-11;3,43;
1980-12;3,15;
1981-01;3,38;
1981-02;4,01;
1981-03;10,23;
1981-04;13,2;
1981-05;8,74;
1981-06;6,04;
1981-07;7,44;
1981-08;6,24;
1981-09;13,21;
1981-10;5,59;
1981-11;3,84;
1981-12;5,36;
1982-01;7,59;
1982-02;4,56;
1982-03;7,63;
1982-04;6,43;
1982-05;4,73;
1982-06;7,33;
1982-07;5,57;
1982-08;4,07;
1982-09;3,58;
1982-10;5,31;
1982-11;7,92;
1982-12;6,69;
1983-01;10,9;
1983-02;4,33;
1983-03;8,04;
1983-04;12,71;
1983-05;7,3;
1983-06;8,85;
1983-07;9,21;
1983-08;7,92;
1983-09;12,22;
1983-10;6,92;
1983-11;9,42;
1983-12;6,97;
1984-01;11,14;
1984-02;4,99;
1984-03;8,53;
1984-04;13,09;
1984-05;6,77;
1984-06;8,85;
1984-07;16,92;
1984-08;6,53;
1984-09;5,85;
1984-10;11,66;
1984-11;13,32;
1984-12;7,36;
1985-01;15,57;
1985-02;13,55;
1985-03;8,01;
1985-04;18,95;
1985-05;8,52;
1985-06;5,98;
1985-07;5,63;
1985-08;8,74;
1985-09;10,75;
1985-10;5,75;
1985-11;15,34;
1985-12;8,52;
1986-01;9,47;
1986-02;11,05;
1986-03;0,34;
1986-04;1,16;
1986-05;0,4;
1986-06;0,36;
1986-07;0,13;
1986-08;0,17;
1986-09;0,41;
1986-10;0,42;
1986-11;0,6;
1986-12;2;
1987-01;8,23;
1987-02;11,93;
1987-03;27,66;
1987-04;39,56;
1987-05;25,93;
1987-06;29,3;
1987-07;5,42;
1987-08;1,66;
1987-09;6,2;
1987-10;7,15;
1987-11;17,14;
1987-12;27,5;
1988-01;26,13;
1988-02;18,16;
1988-03;15,57;
1988-04;15,11;
1988-05;14,73;
1988-06;18,43;
1988-07;19,13;
1988-08;20,02;
1988-09;24,98;
1988-10;23,9;
1988-11;27,85;
1988-12;32,53;
1989-01;34,7;
1989-02;15,82;
1989-03;5,66;
1989-04;4,08;
1989-05;6,59;
1989-06;22,1;
1989-07;34,35;
1989-08;44,45;
1989-09;53,25;
1989-10;47,74;
1989-11;59,38;
1989-12;51,37;
1990-01;71,61;
1990-02;84,15;
1990-03;78,74;
1990-04;14,8;
1990-05;5,12;
1990-06;7,71;
1990-07;7,66;
1990-08;12,59;
1990-09;16;
1990-10;18,64;
1990-11;21,42;
1990-12;35,02;
1991-01;21,97;
1991-02;6,87;
1991-03;3,48;
1991-04;2,27;
1991-05;3,49;
1991-06;8,53;
1991-07;14,67;
1991-08;;
1991-09;35,2;
1991-10;18,04;
1991-11;30,32;
1991-12;35,26;
1992-01;34,82;
1992-02;27,21;
1992-03;24,17;
1992-04;24,79;
1992-05;29,57;
1992-06;20,46;
1992-07;21,46;
1992-08;23,01;
1992-09;23,51;
1992-10;27,68;
1992-11;24,24;
1992-12;21,22;
1993-01;28,01;
1993-02;26,01;
1993-03;30,04;
1993-04;31,34;
1993-05;28,07;
1993-06;32;
1993-07;36,68;
1993-08;34,49;
1993-09;37,52;
1993-10;39,17;
1993-11;39,03;
1993-12;36,3;
1994-01;41,18;
1994-02;43;
1994-03;43,48;
1994-04;41,58;
1994-05;46,1;
1994-06;47,51;
1994-07;4,58;
1994-08;0,35;
1994-09;-0,2;
1994-10;-0,23;
1994-11;1,19;
1994-12;1,19;
1995-01;1,63;
1995-02;2,2;
1995-03;2,11;
1995-04;1,7;
1995-05;2,83;
1995-06;3,84;
1995-07;4,38;
1995-08;1,97;
1995-09;0,86;
1995-10;0,92;
1995-11;0,77;
1995-12;2,2;
1996-01;2,23;
1996-02;1,1;
1996-03;1,03;
1996-04;0,66;
1996-05;0,66;
1996-06;0,81;
1996-07;2,43;
1996-08;1,29;
1996-09;0,37;
1996-10;0,31;
1996-11;0,43;
1996-12;0,92;
1997-01;1,2;
1997-02;0,65;
1997-03;0,34;
1997-04;0,53;
1997-05;0,94;
1997-06;0,56;
1997-07;0,48;
1997-08;0,33;
1997-09;0,37;
1997-10;0,18;
1997-11;0,09;
1997-12;0,46;
1998-01;0,69;
1998-02;0,47;
1998-03;0,57;
1998-04;0,56;
1998-05;0,64;
1998-06;0,18;
1998-07;0,58;
1998-08;0,31;
1998-09;0,29;
1998-10;0,24;
1998-11;0,32;
1998-12;0,61;
1999-01;0,51;
1999-02;0,81;
1999-03;1,71;
1999-04;1,79;
1999-05;1,6;
1999-06;0,72;
1999-07;0,61;
1999-08;1,19;
1999-09;0,59;
1999-10;0,46;
1999-11;0,29;
1999-12;0,21;
2000-01;0,62;
2000-02;0,29;
2000-03;0,29;
2000-04;0,03;
2000-05;0,16;
2000-06;0,67;
2000-07;0,42;
2000-08;0,46;
2000-09;-0,23;
2000-10;-0,2;
2000-11;-0,11;
2000-12;-0,21;
2001-01;0,12;
2001-02;0,84;
2001-03;0,78;
2001-04;0,19;
2001-05;0;
2001-06;-0,57;
2001-07;0,19;
2001-08;1,05;
2001-09;0,42;
2001-10;0,31;
2001-11;0,39;
2001-12;1,1;
2002-01;0,36;
2002-02;1,06;
2002-03;1,67;
2002-04;0,82;
2002-05;0,09;
2002-06;0,18;
2002-07;0,61;
2002-08;0,42;
2002-09;0,61;
2002-10;0,77;
2002-11;0,92;
2002-12;3,14;
2003-01;1,79;
2003-02;0,85;
2003-03;2,95;
2003-04;1,95;
2003-05;0,72;
2003-06;0,36;
2003-07;0,57;
2003-08;0,16;
2003-09;0,47;
2003-10;0,63;
2003-11;0,04;
2003-12;0,48;
2004-01;0,45;
2004-02;-0,01;
2004-03;0,85;
2004-04;1,82;
2004-05;1,4;
2004-06;0,41;
2004-07;0,47;
2004-08;0,32;
2004-09;-0,37;
2004-10;0,32;
2004-11;0,16;
2004-12;0,14;
2005-01;0,1;
2005-02;0,46;
2005-03;0,11;
2005-04;1,72;
2005-05;1,2;
2005-06;0;
2005-07;0,25;
2005-08;0,35;
2005-09;0,44;
2005-10;0,25;
2005-11;0,13;
2005-12;0,15;
2006-01;0,47;
2006-02;0,33;
2006-03;0,32;
2006-04;1,29;
2006-05;0,87;
2006-06;0,25;
2006-07;0,35;
2006-08;0,01;
2006-09;0,19;
2006-10;0,34;
2006-11;0,08;
2006-12;0,06;
2007-01;0,34;
2007-02;0,29;
2007-03;0,18;
2007-04;0,4;
2007-05;0,59;
2007-06;0,25;
2007-07;0,15;
2007-08;0,28;
2007-09;0,25;
2007-10;0,4;
2007-11;0,24;
2007-12;-0,09;
2008-01;0,37;
2008-02;0,42;
2008-03;0,38;
2008-04;0,84;
2008-05;0,64;
2008-06;0,72;
2008-07;0,43;
2008-08;0,19;
2008-09;0,44;
2008-10;0,32;
2008-11;0,3;
2008-12;0,34;
2009-01;0,54;
2009-02;0,35;
2009-03;0,36;
2009-04;1,3;
2009-05;0,69;
2009-06;0,48;
2009-07;0,21;
2009-08;0,14;
2009-09;0,24;
2009-10;0,26;
2009-11;0,15;
2009-12;0,29;
2010-01;0,24;
2010-02;0,09;
2010-03;0,21;
2010-04;0,83;
2010-05;0,84;
2010-06;0,58;
2010-07;0,33;
2010-08;0,15;
2010-09;0,35;
2010-10;0,23;
2010-11;0,29;
2010-12;0,21;
2011-01;0,38;
2011-02;0,24;
2011-03;0,42;
2011-04;1;
2011-05;0,7;
2011-06;0,65;
2011-07;0,37;
2011-08;0,27;
2011-09;0,33;
2011-10;0,33;
2011-11;0,46;
2011-12;0,36;
2012-01;0,14;
2012-02;0,72;
2012-03;0,34;
2012-04;0,98;
2012-05;0,57;
2012-06;0,43;
2012-07;0,25;
2012-08;0,52;
2012-09;0,21;
2012-10;0,44;
2012-11;0,24;
2012-12;0,43;
2013-01;0,7;
2013-02;0,69;
2013-03;0,32;
2013-04;1,19;
2013-05;0,94;
2013-06;0,39;
2013-07;0,29;
2013-08;0,41;
2013-09;0,34;
2013-10;0,35;
2013-11;0,32;
2013-12;0,39;
2014-01;0,31;
2014-02;0,89;
2014-03;0,41;
2014-04;1,02;
2014-05;1;
2014-06;0,63;
2014-07;0,47;
2014-08;0,3;
2014-09;0,23;
2014-10;0,36;
2014-11;0,35;
2014-12;0,4;
2015-01;0,07;
2015-02;0,58;
2015-03;0,73;
2015-04;1,2;
2015-05;1,14;
2015-06;1,03;
2015-07;0,75;
2015-08;0,64;
2015-09;0,48;
2015-10;0,5;
2015-11;0,7;
2015-12;0,62;
2016-01;0,67;
2016-02;1,13;
2016-03;0,74;
2016-04;2,35;
2016-05;1,7;
2016-06;0,78;
2016-07;0,6;
2016-08;0,77;
2016-09;0,25;
2016-10;0,3;
2016-11;0,49;
2016-12;0,39;
2017-01;0,44;
2017-02;0,56;
2017-03;0,62;
2017-04;0,87;
2017-05;0,48;
2017-06;0,31;
2017-07;0,24;
2017-08;0,1;
2017-09;0,27;
2017-10;0,38;
2017-11;0,2;
2017-12;0,19;
2018-01;0,15;
2018-02;0,22;
2018-03;0,44;
2018-04;0,81;
2018-05;0,46;
2018-06;0,22;
2018-07;0,05;
2018-08;0,49;
2018-09;0,08;
2018-10;0,23;
2018-11;-1,41;
2018-12;0,22;
2019-01;0,01;
2019-02;0,4;
2019-03;0,37;
2019-04;1,89;
2019-05;0,44;
2019-06;0,71;
2019-07;-0,63;
2019-08;-0,14;
2019-09;0,78;
2019-10;0,42;
2019-11;0,18;
2019-12;0,4;
2020-01;-0,76;
2020-02;0,91;
2020-03;0,2;
2020-04;-0,24;
2020-05;-0,16;
2020-06;0,07;
2020-07;0,46;
2020-08;0,54;
2020-09;-0,21;
2020-10;0,48;
2020-11;-0,17;
2020-12;0,54;
2021-01;0,22;
2021-02;0,73;
2021-03;-0,14;
2021-04;1,34;
2021-05;0,64;
2021-06;0,51;
2021-07;-0,45;
2021-08;-0,15;
2021-09;0,65;
2021-10;0,47;
2021-11;-1,18;
2021-12;1,21;
2022-01;0,67;
2022-02;0,91;
2022-03;1,29;
2022-04;1,94;
2022-05;1,24;
2022-06;0,87;
2022-07;0,27;
2022-08;1,6;
2022-09;0,49;
2022-10;1,35;
2022-11;-0,4;
2022-12;2,08;
2023-01;-0,24;
2023-02;1,61;
2023-03;0,72;
2023-04;1,3;
2023-05;1,02;
2023-06;0,15;
2023-07;0,1;
2023-08;0,57;
2023-09;-0,16;
2023-10;0,23;
2023-11;-0,23;
2023-12;0,27;
2024-01;0,81;
2024-02;0,62;
2024-03;0,32;
2024-04;1,08;
2024-05;0,77;
2024-06;0,54;
2024-07;0,18;
2024-08;0,14;
